Year,Quarter,Number and Percent of Cases,Hearing Outcome
2018,Qtr 1,188,Citation
2018,Qtr 1,3032,Release ROR/Conditions
2018,Qtr 1,3403,Monetary Bail
2018,Qtr 1,565,Detained
2018,Qtr 1,162,Missing/Unknown
2018,Qtr 2,253,Citation
2018,Qtr 2,2878,Release ROR/Conditions
2018,Qtr 2,3946,Monetary Bail
2018,Qtr 2,704,Detained
2018,Qtr 2,189,Missing/Unknown
2018,Qtr 3,247,Citation
2018,Qtr 3,3032,Release ROR/Conditions
2018,Qtr 3,4262,Monetary Bail
2018,Qtr 3,836,Detained
2018,Qtr 3,182,Missing/Unknown
2018,Qtr 4,210,Citation
2018,Qtr 4,3127,Release ROR/Conditions
2018,Qtr 4,2959,Monetary Bail
2018,Qtr 4,842,Detained
2018,Qtr 4,144,Missing/Unknown
2019,Qtr 1,212,Citation
2019,Qtr 1,3279,Release ROR/Conditions
2019,Qtr 1,3147,Monetary Bail
2019,Qtr 1,663,Detained
2019,Qtr 1,130,Missing/Unknown
2019,Qtr 2,244,Citation
2019,Qtr 2,3652,Release ROR/Conditions
2019,Qtr 2,3504,Monetary Bail
2019,Qtr 2,773,Detained
2019,Qtr 2,173,Missing/Unknown
2019,Qtr 3,278,Citation
2019,Qtr 3,3531,Release ROR/Conditions
2019,Qtr 3,3451,Monetary Bail
2019,Qtr 3,948,Detained
2019,Qtr 3,185,Missing/Unknown
2019,Qtr 4,336,Citation
2019,Qtr 4,3016,Release ROR/Conditions
2019,Qtr 4,3267,Monetary Bail
2019,Qtr 4,635,Detained
2019,Qtr 4,253,Missing/Unknown
2020,Qtr 1,280,Citation
2020,Qtr 1,3098,Release ROR/Conditions
2020,Qtr 1,3502,Monetary Bail
2020,Qtr 1,256,Detained
2020,Qtr 1,221,Missing/Unknown
2020,Qtr 2,134,Citation
2020,Qtr 2,2830,Release ROR/Conditions
2020,Qtr 2,2552,Monetary Bail
2020,Qtr 2,149,Detained
2020,Qtr 2,340,Missing/Unknown
2020,Qtr 3,184,Citation
2020,Qtr 3,2766,Release ROR/Conditions
2020,Qtr 3,4077,Monetary Bail
2020,Qtr 3,181,Detained
2020,Qtr 3,286,Missing/Unknown
2020,Qtr 4,130,Citation
2020,Qtr 4,2409,Release ROR/Conditions
2020,Qtr 4,3662,Monetary Bail
2020,Qtr 4,195,Detained
2020,Qtr 4,135,Missing/Unknown
2021,Qtr 1,139,Citation
2021,Qtr 1,2731,Release ROR/Conditions
2021,Qtr 1,3259,Monetary Bail
2021,Qtr 1,160,Detained
2021,Qtr 1,111,Missing/Unknown
2021,Qtr 2,155,Citation
2021,Qtr 2,2634,Release ROR/Conditions
2021,Qtr 2,3720,Monetary Bail
2021,Qtr 2,228,Detained
2021,Qtr 2,85,Missing/Unknown
2021,Qtr 3,177,Citation
2021,Qtr 3,2147,Release ROR/Conditions
2021,Qtr 3,3462,Monetary Bail
2021,Qtr 3,222,Detained
2021,Qtr 3,86,Missing/Unknown
2021,Qtr 4,116,Citation
2021,Qtr 4,1943,Release ROR/Conditions
2021,Qtr 4,3174,Monetary Bail
2021,Qtr 4,249,Detained
2021,Qtr 4,60,Missing/Unknown
2022,Qtr 1,134,Citation
2022,Qtr 1,1890,Release ROR/Conditions
2022,Qtr 1,3361,Monetary Bail
2022,Qtr 1,250,Detained
2022,Qtr 1,111,Missing/Unknown
2022,Qtr 2,215,Citation
2022,Qtr 2,2075,Release ROR/Conditions
2022,Qtr 2,4046,Monetary Bail
2022,Qtr 2,245,Detained
2022,Qtr 2,119,Missing/Unknown
2022,Qtr 3,302,Citation
2022,Qtr 3,2093,Release ROR/Conditions
2022,Qtr 3,3896,Monetary Bail
2022,Qtr 3,298,Detained
2022,Qtr 3,129,Missing/Unknown
2022,Qtr 4,268,Citation
2022,Qtr 4,2017,Release ROR/Conditions
2022,Qtr 4,3132,Monetary Bail
2022,Qtr 4,326,Detained
2022,Qtr 4,115,Missing/Unknown
2023,Qtr 1,336,Citation
2023,Qtr 1,2245,Release ROR/Conditions
2023,Qtr 1,3509,Monetary Bail
2023,Qtr 1,305,Detained
2023,Qtr 1,166,Missing/Unknown
2023,Qtr 2,330,Citation
2023,Qtr 2,2250,Release ROR/Conditions
2023,Qtr 2,3873,Monetary Bail
2023,Qtr 2,235,Detained
2023,Qtr 2,182,Missing/Unknown
2023,Qtr 3,368,Citation
2023,Qtr 3,2767,Release ROR/Conditions
2023,Qtr 3,3119,Monetary Bail
2023,Qtr 3,349,Detained
2023,Qtr 3,10,Warrant Issued Not Executed
2023,Qtr 3,281,Missing/Unknown
2023,Qtr 4,5457,Release ROR/Conditions
2023,Qtr 4,887,Detained
2023,Qtr 4,58,Warrant Issued Not Executed
2024,Qtr 1,5855,Release ROR/Conditions
2024,Qtr 1,892,Detained
2024,Qtr 1,54,Warrant Issued Not Executed
2024,Qtr 2,6108,Release ROR/Conditions
2024,Qtr 2,961,Detained
2024,Qtr 2,73,Warrant Issued Not Executed
2024,Qtr 3,6521,Release ROR/Conditions
2024,Qtr 3,1018,Detained
2024,Qtr 3,58,Warrant Issued Not Executed
2024,Qtr 4,5740,Release ROR/Conditions
2024,Qtr 4,1088,Detained
2024,Qtr 4,89,Warrant Issued Not Executed
2025,Qtr 1,5690,Release ROR/Conditions
2025,Qtr 1,1477,Detained
2025,Qtr 1,112,Warrant Issued Not Executed
2025,Qtr 2,5635,Release ROR/Conditions
2025,Qtr 2,1610,Detained
2025,Qtr 2,170,Warrant Issued Not Executed
