Year,Quarter,Number and Percent of Cases,Hearing Outcome
2018,Qtr 3,2,Missing/Unknown
2018,Qtr 4,1,Missing/Unknown
2019,Qtr 2,1,Missing/Unknown
2019,Qtr 3,1,Missing/Unknown
2020,Qtr 1,2,Missing/Unknown
2021,Qtr 2,1,Monetary Bail
2021,Qtr 3,2,Missing/Unknown
2021,Qtr 4,1,Missing/Unknown
2022,Qtr 1,1,Missing/Unknown
2022,Qtr 2,1,Monetary Bail
2022,Qtr 2,2,Missing/Unknown
2022,Qtr 3,2,Citation
2022,Qtr 3,1,Monetary Bail
2022,Qtr 3,1,Missing/Unknown
2022,Qtr 4,6,Missing/Unknown
2023,Qtr 1,1,Citation
2023,Qtr 1,1,Monetary Bail
2023,Qtr 1,4,Missing/Unknown
2023,Qtr 2,1,Missing/Unknown
2023,Qtr 3,131,Release ROR/Conditions
2023,Qtr 3,1,Monetary Bail
2023,Qtr 3,140,Detained
2023,Qtr 3,10,Missing/Unknown
2023,Qtr 4,587,Release ROR/Conditions
2023,Qtr 4,887,Detained
2024,Qtr 1,601,Release ROR/Conditions
2024,Qtr 1,892,Detained
2024,Qtr 2,568,Release ROR/Conditions
2024,Qtr 2,961,Detained
2024,Qtr 3,714,Release ROR/Conditions
2024,Qtr 3,1018,Detained
2024,Qtr 4,849,Release ROR/Conditions
2024,Qtr 4,1088,Detained
2025,Qtr 1,894,Release ROR/Conditions
2025,Qtr 1,1477,Detained
2025,Qtr 2,790,Release ROR/Conditions
2025,Qtr 2,1610,Detained
