Year,Not detainable,Detainable - willful flight,Detainable - DV/VOOP,Detainable - public safety,Total
2018 Q1,12490,2139,2974,2206,19809
2018 Q2,13256,2525,3206,2203,21190
2018 Q3,13933,2717,3364,2433,22447
2018 Q4,12382,2225,3052,1968,19627
2019 Q1,12681,2340,2946,2101,20068
2019 Q2,14273,2484,3442,2381,22580
2019 Q3,14774,2425,3490,2437,23126
2019 Q4,12589,2300,3203,1987,20079
2020 Q1,11160,2197,3062,2072,18491
2020 Q2,5627,1591,2272,2132,11622
2020 Q3,7666,2018,2558,2895,15137
2020 Q4,6688,1697,2173,2637,13195
2021 Q1,5619,1949,2145,2301,12014
2021 Q2,5783,1721,2388,2707,12599
2021 Q3,5751,1405,2200,2482,11838
2021 Q4,5409,1169,2150,2213,10941
2022 Q1,5651,1425,2167,2140,11383
2022 Q2,6825,1508,2430,2746,13509
2022 Q3,6531,1543,2460,2697,13231
2022 Q4,5934,1448,2306,2087,11775
2023 Q1,6610,1680,2464,2399,13153
2023 Q2,6981,1622,2738,2488,13829
2023 Q3,7521,1581,2731,2563,14396
2023 Q4,7251,1615,2680,2066,13612
2024 Q1,7931,1746,2691,2335,14703
2024 Q2,8039,1750,2993,2363,15145
2024 Q3,8848,1909,3020,2644,16421
2024 Q4,8061,1925,2853,2127,14966
2025 Q1,8781,2258,2796,2194,16029
2025 Q2,8922,2128,3094,2174,16318
