Year,Quarter,All,ControllingDetainableChargeSort2
2018,Qtr 1,All Cases,19809
2018,Qtr 2,All Cases,21190
2018,Qtr 3,All Cases,22447
2018,Qtr 4,All Cases,19627
2019,Qtr 1,All Cases,20068
2019,Qtr 2,All Cases,22580
2019,Qtr 3,All Cases,23126
2019,Qtr 4,All Cases,20079
2020,Qtr 1,All Cases,18491
2020,Qtr 2,All Cases,11622
2020,Qtr 3,All Cases,15137
2020,Qtr 4,All Cases,13195
2021,Qtr 1,All Cases,12014
2021,Qtr 2,All Cases,12599
2021,Qtr 3,All Cases,11838
2021,Qtr 4,All Cases,10941
2022,Qtr 1,All Cases,11383
2022,Qtr 2,All Cases,13509
2022,Qtr 3,All Cases,13231
2022,Qtr 4,All Cases,11775
2023,Qtr 1,All Cases,13153
2023,Qtr 2,All Cases,13829
2023,Qtr 3,All Cases,14396
2023,Qtr 4,All Cases,13612
2024,Qtr 1,All Cases,14703
2024,Qtr 2,All Cases,15145
2024,Qtr 3,All Cases,16421
2024,Qtr 4,All Cases,14966
2025,Qtr 1,All Cases,16029
2025,Qtr 2,All Cases,16318
