Year,Quarter,Number and Percent of Cases,Hearing Outcome
2018,Qtr 3,2,Missing/Unknown
2018,Qtr 4,1,Missing/Unknown
2019,Qtr 2,1,Missing/Unknown
2019,Qtr 3,1,Missing/Unknown
2020,Qtr 1,2,Missing/Unknown
2021,Qtr 2,1,Monetary Bail
2021,Qtr 3,2,Missing/Unknown
2021,Qtr 4,1,Missing/Unknown
2022,Qtr 1,1,Missing/Unknown
2022,Qtr 2,1,Monetary Bail
2022,Qtr 2,2,Missing/Unknown
2022,Qtr 3,2,Citation
2022,Qtr 3,1,Missing/Unknown
2022,Qtr 4,6,Missing/Unknown
2023,Qtr 1,1,Citation
2023,Qtr 1,4,Missing/Unknown
2023,Qtr 2,1,Missing/Unknown
2023,Qtr 3,131,Release ROR/Conditions
2023,Qtr 3,1,Monetary Bail
2023,Qtr 3,135,Detained
2023,Qtr 3,10,Missing/Unknown
2023,Qtr 4,573,Release ROR/Conditions
2023,Qtr 4,851,Detained
2024,Qtr 1,585,Release ROR/Conditions
2024,Qtr 1,872,Detained
2024,Qtr 2,558,Release ROR/Conditions
2024,Qtr 2,930,Detained
2024,Qtr 3,700,Release ROR/Conditions
2024,Qtr 3,980,Detained
2024,Qtr 4,839,Release ROR/Conditions
2024,Qtr 4,1053,Detained
2025,Qtr 1,881,Release ROR/Conditions
2025,Qtr 1,1435,Detained
2025,Qtr 2,770,Release ROR/Conditions
2025,Qtr 2,1556,Detained
