Year,Quarter,Number and Percent of Cases,Hearing Outcome
2018,Qtr 1,171,Citation
2018,Qtr 1,1866,Release ROR/Conditions
2018,Qtr 1,2658,Monetary Bail
2018,Qtr 1,470,Detained
2018,Qtr 1,45,Missing/Unknown
2018,Qtr 2,239,Citation
2018,Qtr 2,1622,Release ROR/Conditions
2018,Qtr 2,3018,Monetary Bail
2018,Qtr 2,525,Detained
2018,Qtr 2,39,Missing/Unknown
2018,Qtr 3,233,Citation
2018,Qtr 3,1620,Release ROR/Conditions
2018,Qtr 3,3297,Monetary Bail
2018,Qtr 3,642,Detained
2018,Qtr 3,49,Missing/Unknown
2018,Qtr 4,188,Citation
2018,Qtr 4,1729,Release ROR/Conditions
2018,Qtr 4,2434,Monetary Bail
2018,Qtr 4,667,Detained
2018,Qtr 4,35,Missing/Unknown
2019,Qtr 1,191,Citation
2019,Qtr 1,1793,Release ROR/Conditions
2019,Qtr 1,2541,Monetary Bail
2019,Qtr 1,540,Detained
2019,Qtr 1,25,Missing/Unknown
2019,Qtr 2,222,Citation
2019,Qtr 2,2111,Release ROR/Conditions
2019,Qtr 2,2873,Monetary Bail
2019,Qtr 2,622,Detained
2019,Qtr 2,34,Missing/Unknown
2019,Qtr 3,255,Citation
2019,Qtr 3,2092,Release ROR/Conditions
2019,Qtr 3,2801,Monetary Bail
2019,Qtr 3,772,Detained
2019,Qtr 3,44,Missing/Unknown
2019,Qtr 4,302,Citation
2019,Qtr 4,1789,Release ROR/Conditions
2019,Qtr 4,2554,Monetary Bail
2019,Qtr 4,498,Detained
2019,Qtr 4,63,Missing/Unknown
2020,Qtr 1,243,Citation
2020,Qtr 1,1888,Release ROR/Conditions
2020,Qtr 1,2744,Monetary Bail
2020,Qtr 1,208,Detained
2020,Qtr 1,73,Missing/Unknown
2020,Qtr 2,118,Citation
2020,Qtr 2,2164,Release ROR/Conditions
2020,Qtr 2,1941,Monetary Bail
2020,Qtr 2,124,Detained
2020,Qtr 2,63,Missing/Unknown
2020,Qtr 3,167,Citation
2020,Qtr 3,2011,Release ROR/Conditions
2020,Qtr 3,3102,Monetary Bail
2020,Qtr 3,144,Detained
2020,Qtr 3,51,Missing/Unknown
2020,Qtr 4,113,Citation
2020,Qtr 4,1666,Release ROR/Conditions
2020,Qtr 4,2881,Monetary Bail
2020,Qtr 4,155,Detained
2020,Qtr 4,19,Missing/Unknown
2021,Qtr 1,124,Citation
2021,Qtr 1,1642,Release ROR/Conditions
2021,Qtr 1,2530,Monetary Bail
2021,Qtr 1,129,Detained
2021,Qtr 1,26,Missing/Unknown
2021,Qtr 2,140,Citation
2021,Qtr 2,1703,Release ROR/Conditions
2021,Qtr 2,3046,Monetary Bail
2021,Qtr 2,201,Detained
2021,Qtr 2,11,Missing/Unknown
2021,Qtr 3,161,Citation
2021,Qtr 3,1419,Release ROR/Conditions
2021,Qtr 3,2886,Monetary Bail
2021,Qtr 3,200,Detained
2021,Qtr 3,23,Missing/Unknown
2021,Qtr 4,106,Citation
2021,Qtr 4,1397,Release ROR/Conditions
2021,Qtr 4,2626,Monetary Bail
2021,Qtr 4,229,Detained
2021,Qtr 4,15,Missing/Unknown
2022,Qtr 1,120,Citation
2022,Qtr 1,1380,Release ROR/Conditions
2022,Qtr 1,2569,Monetary Bail
2022,Qtr 1,223,Detained
2022,Qtr 1,29,Missing/Unknown
2022,Qtr 2,193,Citation
2022,Qtr 2,1556,Release ROR/Conditions
2022,Qtr 2,3205,Monetary Bail
2022,Qtr 2,206,Detained
2022,Qtr 2,31,Missing/Unknown
2022,Qtr 3,271,Citation
2022,Qtr 3,1546,Release ROR/Conditions
2022,Qtr 3,3077,Monetary Bail
2022,Qtr 3,252,Detained
2022,Qtr 3,29,Missing/Unknown
2022,Qtr 4,252,Citation
2022,Qtr 4,1439,Release ROR/Conditions
2022,Qtr 4,2398,Monetary Bail
2022,Qtr 4,284,Detained
2022,Qtr 4,35,Missing/Unknown
2023,Qtr 1,322,Citation
2023,Qtr 1,1547,Release ROR/Conditions
2023,Qtr 1,2681,Monetary Bail
2023,Qtr 1,263,Detained
2023,Qtr 1,68,Missing/Unknown
2023,Qtr 2,315,Citation
2023,Qtr 2,1703,Release ROR/Conditions
2023,Qtr 2,2958,Monetary Bail
2023,Qtr 2,204,Detained
2023,Qtr 2,67,Missing/Unknown
2023,Qtr 3,349,Citation
2023,Qtr 3,2076,Release ROR/Conditions
2023,Qtr 3,2461,Monetary Bail
2023,Qtr 3,316,Detained
2023,Qtr 3,7,Warrant Issued Not Executed
2023,Qtr 3,103,Missing/Unknown
2023,Qtr 4,3898,Release ROR/Conditions
2023,Qtr 4,851,Detained
2023,Qtr 4,38,Warrant Issued Not Executed
2024,Qtr 1,4151,Release ROR/Conditions
2024,Qtr 1,872,Detained
2024,Qtr 1,32,Warrant Issued Not Executed
2024,Qtr 2,4420,Release ROR/Conditions
2024,Qtr 2,930,Detained
2024,Qtr 2,42,Warrant Issued Not Executed
2024,Qtr 3,4674,Release ROR/Conditions
2024,Qtr 3,980,Detained
2024,Qtr 3,33,Warrant Issued Not Executed
2024,Qtr 4,3903,Release ROR/Conditions
2024,Qtr 4,1053,Detained
2024,Qtr 4,36,Warrant Issued Not Executed
2025,Qtr 1,3536,Release ROR/Conditions
2025,Qtr 1,1435,Detained
2025,Qtr 1,50,Warrant Issued Not Executed
2025,Qtr 2,3645,Release ROR/Conditions
2025,Qtr 2,1556,Detained
2025,Qtr 2,86,Warrant Issued Not Executed
