Date,Jail Population,Community Corrections,Total Male And Female
2018-01-01,5993.0,2153,8146.0
2018-01-02,6009.0,2163,8172.0
2018-01-03,6005.0,2162,8167.0
2018-01-04,5962.0,2160,8122.0
2018-01-05,5997.0,2147,8144.0
2018-01-06,6131.0,2154,8285.0
2018-01-07,6165.0,2162,8327.0
2018-01-08,6099.0,2170,8269.0
2018-01-09,6072.0,2169,8241.0
2018-01-10,6075.0,2167,8242.0
2018-01-11,6024.0,2161,8185.0
2018-01-12,6057.0,2142,8199.0
2018-01-13,6082.0,2147,8229.0
2018-01-14,6107.0,2152,8259.0
2018-01-15,6132.0,2157,8289.0
2018-01-16,6157.0,2161,8318.0
2018-01-17,6191.0,2146,8337.0
2018-01-18,6076.0,2132,8208.0
2018-01-19,6052.0,2123,8175.0
2018-01-20,6097.0,2125,8222.0
2018-01-21,6142.0,2127,8269.0
2018-01-22,6187.0,2129,8316.0
2018-01-23,6233.0,2132,8365.0
2018-01-24,6194.0,2125,8319.0
2018-01-25,6182.0,2125,8307.0
2018-01-26,6129.0,2117,8246.0
2018-01-27,6148.0,2120,8268.0
2018-01-28,6164.0,2124,8288.0
2018-01-29,6182.0,2128,8310.0
2018-01-30,6203.0,2131,8334.0
2018-01-31,6186.0,2108,8294.0
2018-02-01,6123.0,2112,8235.0
2018-02-02,6102.0,2085,8187.0
2018-02-03,6107.0,2092,8199.0
2018-02-04,6112.0,2099,8211.0
2018-02-05,6117.0,2106,8223.0
2018-02-06,6098.0,2113,8211.0
2018-02-07,6045.0,2111,8156.0
2018-02-08,6011.0,2097,8108.0
2018-02-09,6038.0,2096,8134.0
2018-02-10,6096.0,2100,8196.0
2018-02-11,6154.0,2104,8258.0
2018-02-12,6212.0,2108,8320.0
2018-02-13,6270.0,2112,8382.0
2018-02-14,6190.0,2098,8288.0
2018-02-15,6163.0,2077,8240.0
2018-02-16,6158.0,2068,8226.0
2018-02-17,6172.25,2067,8239.25
2018-02-18,6186.5,2065,8251.5
2018-02-19,6200.75,2064,8264.75
2018-02-20,6215.0,2062,8277.0
2018-02-21,6191.0,2071,8262.0
2018-02-22,6126.0,2071,8197.0
2018-02-23,6157.0,2062,8219.0
2018-02-24,6172.66667,2064,8236.666669999999
2018-02-25,6188.33333,2066,8254.333330000001
2018-02-26,6204.0,2068,8272.0
2018-02-27,6197.0,2070,8267.0
2018-02-28,6164.0,2052,8216.0
2018-03-01,6156.5,2025,8181.5
2018-03-02,6149.0,2011,8160.0
2018-03-03,6157.25,2012,8169.25
2018-03-04,6165.5,2014,8179.5
