County,Pre-PFA All Cases,Post-PFA All Cases,Pre-PFA Detainable Cases,Post-PFA Detainable Cases
"Boone County, IL",35.0%,7.0%,52.2%,35.4%
"Carroll County, IL",31.8%,7.3%,35.9%,26.5%
"Edwards County, IL",36.1%,12.5%,67.9%,53.8%
"Ford County, IL",34.1%,2.3%,67.2%,8.9%
"Franklin County, IL",42.4%,9.6%,78.0%,39.8%
"Fulton County, IL",23.6%,8.3%,37.2%,24.8%
"Hancock County, IL",21.6%,5.9%,51.1%,28.6%
"Henderson County, IL",27.0%,2.5%,71.1%,13.3%
"Jefferson County, IL",48.5%,7.7%,85.2%,43.4%
"Jo Daviess County, IL",21.9%,1.7%,55.9%,14.0%
"Knox County, IL",28.4%,7.9%,65.7%,27.9%
"Lawrence County, IL",27.4%,13.5%,53.8%,51.1%
"Livingston County, IL",21.2%,6.5%,60.7%,41.3%
"Logan County, IL",18.5%,8.8%,67.6%,33.9%
"McDonough County, IL",29.3%,13.4%,51.9%,73.9%
"Ogle County, IL",21.7%,5.8%,53.7%,31.0%
"Richland County, IL",20.7%,12.1%,36.2%,28.7%
"Stephenson County, IL",33.7%,9.6%,63.7%,40.2%
"Warren County, IL",36.2%,4.3%,72.0%,18.7%
"Wayne County, IL",37.7%,8.2%,68.7%,32.9%
"White County, IL",48.3%,10.7%,71.0%,32.0%
