Date,AverageMonthlyPop_mean
1/31/2018,124.5650579
2/28/2018,113.100145
3/31/2018,123.7214903
4/30/2018,120.2865486
5/31/2018,126.6564319
6/30/2018,122.8179817
7/31/2018,125.900584
8/31/2018,128.1267051
9/30/2018,124.0310258
10/31/2018,128.7781832
11/30/2018,120.6322276
12/31/2018,123.1408377
1/31/2019,127.5014293
2/28/2019,115.5062919
3/31/2019,131.6690496
4/30/2019,124.8419612
5/31/2019,129.9213378
6/30/2019,124.9563778
7/31/2019,131.7162461
8/31/2019,135.025743
9/30/2019,133.574799
10/31/2019,133.4303483
11/30/2019,124.3185059
12/31/2019,124.1106496
1/31/2020,128.0273478
2/28/2020,118.6963138
3/31/2020,112.1199389
4/30/2020,85.23304429
5/31/2020,87.47165994
6/30/2020,93.08407943
7/31/2020,104.8557869
8/31/2020,115.4083229
9/30/2020,108.5626419
10/31/2020,123.0234546
11/30/2020,111.6840662
12/31/2020,108.1428766
1/31/2021,111.6361545
2/28/2021,103.2858973
3/31/2021,115.7808921
4/30/2021,111.318649
5/31/2021,114.3299478
6/30/2021,113.3223677
7/31/2021,109.5287464
8/31/2021,115.0722247
9/30/2021,111.3579797
10/31/2021,119.4915613
11/30/2021,122.1839238
12/31/2021,105.5463377
1/31/2022,104.1872359
2/28/2022,106.0319383
3/31/2022,106.2901019
4/30/2022,104.5757234
5/31/2022,99.90934096
6/30/2022,101.008095
7/31/2022,102.9890948
8/31/2022,102.4019321
9/30/2022,102.0372737
10/31/2022,100.2015186
11/30/2022,98.5269508
12/31/2022,97.07234312
1/31/2023,105.636663
2/28/2023,106.3413348
3/31/2023,105.4127065
4/30/2023,104.9207971
5/31/2023,100.0309609
6/30/2023,99.46576594
7/31/2023,96.92752446
8/31/2023,99.41754976
9/30/2023,98.23555556
10/31/2023,86.285
11/30/2023,85.20151591
12/31/2023,81.79285222
1/31/2024,84.4667
2/29/2024,80.19045455
3/31/2024,84.04444444
