Date,Black,Hispanic,White
8/1/2023,208,108,118
8/2/2023,209,111,120
8/3/2023,211,113,120
8/4/2023,206,109,119
8/5/2023,201,110,115
8/6/2023,206,112,119
8/7/2023,209,114,121
8/8/2023,203,118,124
9-Aug,204,113,133
8/10/2023,208,113,128
8/11/2023,215,108,124
8/12/2023,216,103,124
8/13/2023,210,107,128
8/14/2023,212,107,131
8/15/2023,214,106,127
8/16/2023,218,108,123
8/17/2023,217,108,127
8/18/2023,216,106,126
8/19/2023,219,109,120
8/20/2023,221,110,125
8/21/2023,226,115,125
8/22/2023,227,112,129
8/23/2023,227,111,126
8/24/2023,223,113,128
8/25/2023,220,111,127
8/26/2023,220,108,127
8/27/2023,219,107,127
8/28/2023,226,108,127
8/29/2023,227,108,126
8/30/2023,232,112,126
8/31/2023,229,109,124
9/1/2023,229,106,124
9/2/2023,226,107,126
9/3/2023,227,110,128
9/4/2023,229,108,126
5-Sep,234,113,134
9/6/2023,237,115,137
9/7/2023,241,116,132
9/8/2023,238,115,128
9/9/2023,234,115,132
9/10/2023,238,116,131
9/11/2023,241,115,134
9/12/2023,236,114,132
9/13/2023,237,119,132
9/14/2023,236,118,138
9/15/2023,241,115,138
9/16/2023,239,113,
9/17/2023,239,115,129
9/18/2023,241,118,132
9/19/2023,244,112,131
9/20/2023,245,108,126
9/21/2023,238,109,125
9/22/2023,228,108,123
9/23/2023,220,104,120
9/24/2023,,,118
9/25/2023,224,112,120
9/26/2023,220,110,117
9/27/2023,216,103,115
9/28/2023,207,104,113
9/29/2023,211,105,114
23-Sep,211,104,
10/1/2023,212,,111
10/2/2023,212,105,116
10/3/2023,207,102,109
10/4/2023,205,103,107
10/5/2023,207,102,101
10/6/2023,204,106,97
10/7/2023,,104,95
10/8/2023,201,105,97
10/9/2023,200,106,98
10/10/2023,207,111,107
10/11/2023,207,111,108
10/12/2023,203,114,97
10/13/2023,201,108,96
10/14/2023,199,108,94
10/15/2023,199,109,96
10/16/2023,200,112,98
10/17/2023,202,109,93
10/18/2023,205,109,95
10/19/2023,198,112,96
10/20/2023,200,111,95
10/21/2023,,113,99
10/22/2023,199,115,95
10/23/2023,208,116,96
10/24/2023,203,108,99
10/25/2023,199,107,101
10/26/2023,192,105,97
10/27/2023,194,110,102
10/28/2023,193,108,
10/29/2023,188,108,102
10/30/2023,189,108,106
10/31/2023,190,108,104
