County,Number detention eligible,Not petitioned,Petitioned Not Detained,Detained
Rural County 1,162,4.94%,39.51%,55.56%
Urban County 1,157,28.21%,19.23%,52.56%
Urban County 2,680,13.24%,36.18%,50.59%
Urban County 3,315,16.83%,37.14%,46.03%
Rural County 2,165,48.48%,7.88%,43.64%
Urban County 4,514,20.04%,36.38%,43.58%
Rural County 3,113,37.17%,19.47%,43.36%
Rural County 4,158,56.33%,1.90%,41.77%
Rural County 5,164,39.63%,20.73%,39.63%
Rural County 6,112,44.64%,16.07%,39.29%
Rural County 7,120,26.67%,34.17%,39.17%
Rural County 8,158,46.84%,17.72%,35.44%
Urban County 5,1105,32.57%,32.76%,34.67%
Rural County 9,859,47.26%,20.72%,32.01%
Rural County 10,133,55.64%,12.78%,31.58%
Urban County 6,1729,47.25%,21.39%,31.34%
Rural County 11,166,36.75%,31.93%,31.33%
Rural County 12,352,55.11%,14.20%,30.68%
Rural County 13,100,39.00%,31.00%,30.00%
Rural County 14,142,32.39%,38.03%,29.58%
Rural County 15,110,53.64%,18.18%,28.18%
Rural County 16,212,47.17%,25.00%,27.83%
Rural County 17,105,69.52%,3.81%,26.67%
Rural County 18,107,61.68%,12.15%,26.17%
Rural County 19,102,56.86%,17.65%,25.49%
Rural County 20,119,62.18%,12.61%,25.21%
Rural County 21,366,61.20%,14.75%,24.04%
Rural County 22,161,40.37%,36.65%,22.98%
Rural County 23,415,68.43%,11.33%,20.24%
Rural County 24,115,75.65%,4.35%,20.00%
Rural County 24,111,53.15%,28.83%,18.02%
Cook County,14646,73.16%,10.41%,16.43%
Urban County 7,1428,77.03%,11.20%,11.70%
Rural County 26,274,85.04%,3.65%,11.31%
,,,,
