,Released,Detained,Total Cases,Percent Detained
Boone ,102,56,158,35.44303797
Carroll ,36,13,49,26.53061224
Edwards ,12,14,26,53.84615385
Franklin ,160,106,266,39.84962406
Fulton ,121,40,161,24.8447205
Hancock ,40,16,56,28.57142857
Henderson ,26,4,30,13.33333333
Jefferson ,82,63,145,43.44827586
Jo Daviess ,49,8,57,14.03508772
Knox ,264,102,366,27.86885246
Lawrence ,44,46,90,51.11111111
Livingston ,105,74,179,41.34078212
Logan ,74,38,112,33.92857143
Ogle ,98,44,142,30.98591549
Richland ,82,33,115,28.69565217
Stephenson ,150,101,251,40.23904382
Warren ,74,17,91,18.68131868
Wayne ,53,26,79,32.91139241
White ,68,32,100,32
Cook ,12239,2407,14646,16.43452137
