,Boone,Carroll,Edwards,Ford,Franklin,Fulton,Hancock,Henderson,Jefferson,Jo Daviess,Knox,Lawrence,Livingston,Logan,McDonough,Ogle,Richland,Stephenson,Warren,Wayne,White,Woodford
22-Jan,56.75675676,68.96551724,57.14285714,56.52173913,71.69811321,71.92982456,82.14285714,72.72727273,77.22772277,48.33333333,65.2173913,66.66666667,61.86440678,52.27272727,82.75862069,57.89473684,79.54545455,71.71052632,75,47.82608696,81.39534884,74.19354839
22-Feb,73.62637363,61.9047619,75,84,74.71264368,60.86956522,72.22222222,60,68.08510638,30.35714286,63.38028169,57.89473684,47.36842105,47.94520548,100,54.76190476,56.36363636,75.6097561,66.66666667,79.31034483,74.46808511,67.39130435
22-Mar,65.71428571,63.15789474,66.66666667,73.80952381,69.1588785,65.09433962,81.81818182,72.4137931,64.21052632,42.46575342,54.42477876,69.56521739,54.46428571,54.20560748,83.33333333,54.24836601,62.71186441,75.13812155,69.23076923,79.6875,88.75,56.16438356
22-Apr,72.52747253,75.86206897,50,51.61290323,66.66666667,56.89655172,82.60869565,43.75,73.33333333,29.87012987,65.90909091,65.11627907,55.83333333,43.67816092,84.90566038,48.88888889,72.72727273,68.05555556,54.54545455,61.53846154,81.17647059,60.25641026
22-May,59.84848485,62.5,81.25,76.66666667,74.74747475,55.38461538,81.25,53.65853659,73.68421053,28.57142857,57.92349727,56.25,59.57446809,54.54545455,78.57142857,49.27536232,67.9245283,63.63636364,54,52,78.04878049,57.95454545
22-Jun,59.84251969,61.29032258,76.92307692,53.84615385,76.41509434,61.01694915,84,65.78947368,60.55045872,26.58227848,63.1840796,69.56521739,51.35135135,57.14285714,82,43.79084967,70.11494253,63.98104265,64.58333333,75.80645161,75,58.2278481
22-Jul,54.62962963,58.06451613,62.5,80,67.66467066,68.60465116,86.20689655,70.37037037,70.96774194,22.61904762,69.76744186,76.92307692,46.66666667,43.33333333,85.24590164,46.98795181,73.17073171,72.4137931,52.63157895,66.66666667,88,70.40816327
22-Aug,68,47.5,61.53846154,71.875,66.26506024,65.38461538,93.75,35.13513514,69.62962963,35.55555556,69.5,51.72413793,48.50746269,44.52054795,70.83333333,45.02923977,67.56756757,71.52777778,48.7804878,72.72727273,85.71428571,70.45454545
22-Sep,47.70642202,77.14285714,50,60.52631579,72.65625,64.63414634,100,44.44444444,65.34653465,36.47058824,64.46700508,40.81632653,49.49494949,40.17094017,70.27027027,50,62.79069767,74.31693989,48.93617021,65.85365854,86,72.94117647
22-Oct,53.22580645,70.58823529,40,79.31034483,60,74.35897436,54.54545455,52,66.05504587,26.15384615,57.59493671,39.28571429,62.71186441,41.44144144,76.74418605,53.7037037,61.66666667,63.69426752,66.66666667,63.04347826,90.56603774,55.44554455
22-Nov,52.27272727,69.56521739,42.85714286,58.82352941,62.5,69.56521739,52.38095238,61.11111111,70,17.77777778,58.38926174,45.83333333,46.15384615,51.28205128,64.61538462,51.07913669,46.80851064,74.4,55,48.48484848,80,56.94444444
22-Dec,53.50877193,53.65853659,70,85,62.74509804,62.31884058,52.38095238,65,58.01526718,22,61.21212121,48,55.55555556,33.82352941,74.6835443,42.22222222,64,59.42857143,75,29.16666667,57.69230769,64.17910448
23-Jan,56.25,51.35135135,33.33333333,66.66666667,62.28571429,53.52112676,76.19047619,56.52173913,57.8125,17.80821918,53.8071066,39.47368421,44,45,77.94117647,44.16666667,65.45454545,75.75757576,73.91304348,50,83.63636364,57.57575758
23-Feb,54.05405405,75.86206897,69.23076923,79.31034483,53.96825397,66.12903226,90.90909091,69.56521739,49.66887417,25.35211268,55.27638191,48.71794872,57.97101449,42.5,84.61538462,45.33333333,72.09302326,58.82352941,61.76470588,65.95744681,84.84848485,52.43902439
23-Mar,56,68.88888889,43.75,80,71.69811321,47.05882353,90.90909091,51.72413793,66.89189189,16.4556962,53.33333333,51.92307692,50.73529412,40.86021505,67.46987952,44.52054795,60.6557377,62.13017751,60.97560976,64.1509434,82.25806452,54.91803279
23-Apr,51.69491525,63.88888889,52.94117647,64.28571429,69.8630137,58.46153846,36.36363636,56,53.60824742,11.86440678,65.16129032,54.34782609,59.05511811,44.28571429,71.08433735,41.6,60.71428571,60.25641026,57.5,57.57575758,77.41935484,52.5
23-May,58.77862595,66.66666667,66.66666667,66.66666667,64.08450704,69.89247312,44.44444444,50,59.71223022,26.41509434,49.7716895,51.11111111,51.12781955,38.0952381,73.4939759,56.96969697,71.05263158,66.12021858,73.68421053,55.10204082,68.88888889,55.55555556
23-Jun,49.66887417,78.78787879,70.37037037,82.14285714,62.13017751,53,48.71794872,41.37931034,56.52173913,9.523809524,60.24096386,52.63157895,53.42465753,25.84269663,72.4137931,50.85714286,66.66666667,66.33663366,51.2195122,48.8372093,73.21428571,74.15730337
23-Jul,51.02040816,42.42424242,63.15789474,68.42105263,54.54545455,53.75,66.66666667,28.57142857,60.30534351,13.33333333,44.97816594,56.8627451,55,25.74257426,63.29113924,49.65517241,60.60606061,60.42780749,28.26086957,48.88888889,75,80.32786885
23-Aug,45.51282051,56,66.66666667,46.34146341,68.14159292,46.66666667,41.30434783,23.33333333,67.5,15.2173913,41.74757282,51.2195122,43.93939394,27.39726027,70.12987013,50.3649635,59.64912281,64.19753086,32.60869565,43.39622642,77.27272727,78.94736842
23-Oct,5.128205128,4.545454545,21.42857143,0,15.2866242,3.092783505,2.702702703,4.166666667,4.210526316,0,7.079646018,13.15789474,14.67889908,6.666666667,16.66666667,0.892857143,8.474576271,6.626506024,3.448275862,1.818181818,7.142857143,0
23-Nov,9.090909091,0,5.263157895,0,10.07194245,2.752293578,2.941176471,9.090909091,0,2.857142857,1.923076923,2.857142857,9.375,1.785714286,8.695652174,2.666666667,1.960784314,6.617647059,2.173913043,2.5,5.405405405,0
