,All Cases,Non-Detainable,Detainable - Willful Flight,DV/VOOP,Detainable - Public Safety
22-Jan,66.80851064,59.53533398,87.27272727,84.51612903,91.22807018
22-Feb,63.97966594,54.92813142,86.26373626,81.33333333,94.36619718
22-Mar,64.33604336,57.01492537,85.14851485,77.36842105,92.03539823
22-Apr,62.22358722,54.89396411,83.33333333,82.46753247,90.69767442
22-May,61.27886323,52.180937,89.30481283,80,93.67088608
22-Jun,61.22672508,52.43362832,89.44723618,80.85106383,92.77108434
22-Jul,62.62798635,55.0802139,87.6344086,80,87.09677419
22-Aug,61.0968734,52.32477446,87.62376238,82.5,88.88888889
22-Sep,60.30664395,51.66666667,83.97790055,83.90804598,95.34883721
22-Oct,59.6,50.68597561,87.43718593,80.37974684,95.0617284
22-Nov,56.59630607,47.74696707,88,78.32167832,91.30434783
22-Dec,56.86794957,48.32618026,92.36111111,77.34375,88.57142857
23-Jan,56.16438356,46.15384615,86.12716763,84.02777778,96.59090909
23-Feb,56.87203791,47.59398496,86.33540373,92.92035398,98.80952381
23-Mar,56.56916212,47.4728087,87.37864078,82.26950355,96.26168224
23-Apr,56.13927917,47.5965327,83.64779874,84.13793103,93.75
23-May,58.1407563,49.12770412,82.69230769,84.23913043,96.20253165
23-Jun,56.33074935,46.69909659,83.74384236,79.69543147,94.79166667
23-Jul,52.78188085,42.71717831,83.62831858,78.45303867,93.5483871
23-Aug,52.42771413,40.91919941,83.83838384,80.43478261,93.1372549
23-Oct,6.878306878,0.470588235,7.36196319,28.48101266,51.42857143
23-Nov,4.58254865,0.557768924,5.369127517,25.80645161,40
