,Pre-PFA,Post-PFA
Overall - Cook,12.1,12.4
Non-Detainable Misd. - Cook,15.2,13.4
Non-Detainable Felony - Cook,11.8,16.6
Detainable Willful Flight Felony - Cook,16.5,19
Detainable Public Safety Misd. - Cook,6,5.2
Detainable Public Safety Felony - Cook,7.5,7.9
Overall - Other Counties,13.6,12.9
Non-Detainable Misd. - Other Counties,14.4,11.6
Non-Detainable Felony - Other Counties,14.1,22.9
Detainable Willful Flight Felony - Other Counties,13,22.4
Detainable Public Safety Misd. - Other Counties,9.4,7.9
Detainable Public Safety Felony - Other Counties,7.2,9.7
