Year,Quarter,Overall 6-Month FTA Rate,6-Month FTA Warrant Rate,6-Month Uncured FTA Rate,Earliest Date
2022,Qtr 2,21.81%,11.46%,14.86%,2022-04-01 00:00:00
2022,Qtr 3,23.92%,12.85%,17.66%,2022-07-01 00:00:00
2022,Qtr 4,23.84%,12.00%,17.90%,2022-10-01 00:00:00
2023,Qtr 1,20.93%,11.18%,14.64%,2023-01-01 00:00:00
2023,Qtr 2,21.31%,11.71%,14.93%,2023-04-01 00:00:00
2023,Qtr 3,22.32%,13.08%,16.67%,2023-07-01 00:00:00
2023,Qtr 4,28.26%,13.55%,19.48%,2023-10-01 00:00:00
2024,Qtr 1,32.39%,16.49%,23.71%,2024-01-01 00:00:00
2024,Qtr 2,34.88%,16.56%,23.91%,2024-04-01 00:00:00
2024,Qtr 3,31.96%,15.18%,21.52%,2024-07-01 00:00:00
2024,Qtr 4,33.90%,16.98%,23.00%,2024-10-01 00:00:00
2025,Qtr 1,30.64%,16.09%,20.66%,2025-01-01 00:00:00
