Year,Quarter,Hearing Outcome,Average of FTAWarrRevisedFailure6MoOCJ
2022,Qtr 2,Citation,12.80%
2022,Qtr 2,Release ROR/Conditions,12.72%
2022,Qtr 2,Monetary Bail,7.51%
2022,Qtr 3,Citation,14.64%
2022,Qtr 3,Release ROR/Conditions,12.15%
2022,Qtr 3,Monetary Bail,7.76%
2022,Qtr 4,Citation,14.90%
2022,Qtr 4,Release ROR/Conditions,12.48%
2022,Qtr 4,Monetary Bail,6.82%
2023,Qtr 1,Citation,14.58%
2023,Qtr 1,Release ROR/Conditions,10.08%
2023,Qtr 1,Monetary Bail,7.77%
2023,Qtr 2,Citation,11.28%
2023,Qtr 2,Release ROR/Conditions,10.52%
2023,Qtr 2,Monetary Bail,7.63%
2023,Qtr 3,Citation,10.82%
2023,Qtr 3,Release ROR/Conditions,10.02%
2023,Qtr 3,Monetary Bail,7.24%
2023,Qtr 4,Citation,10.72%
2023,Qtr 4,Release ROR/Conditions,8.61%
2024,Qtr 1,Citation,13.07%
2024,Qtr 1,Release ROR/Conditions,9.68%
2024,Qtr 2,Citation,12.44%
2024,Qtr 2,Release ROR/Conditions,10.19%
2024,Qtr 3,Citation,13.62%
2024,Qtr 3,Release ROR/Conditions,10.04%
2024,Qtr 4,Citation,14.96%
2024,Qtr 4,Release ROR/Conditions,10.09%
2025,Qtr 1,Citation,14.94%
2025,Qtr 1,Release ROR/Conditions,9.39%
