Date,Misdemeanor Non-Detainable,Felony Non-Detainable,Misd. Or Felony Detainable Public Safety
Sep 2022,17.8%,19.0%,12.7%
Oct 2022,20.8%,23.8%,13.9%
Nov 2022,19.6%,22.0%,12.4%
Dec 2022,20.4%,26.8%,15.8%
Jan 2023,19.0%,23.0%,13.3%
Feb 2023,17.2%,20.6%,12.1%
Mar 2023,19.9%,19.8%,14.2%
Apr 2023,20.0%,22.0%,12.0%
May 2023,22.3%,22.1%,13.0%
Jun 2023,23.7%,20.5%,12.2%
Jul 2023,22.7%,20.5%,12.3%
Aug 2023,24.8%,24.1%,13.8%
Sep 2023,27.1%,24.4%,13.7%
Oct 2023,22.2%,30.2%,15.2%
Nov 2023,25.4%,26.8%,14.7%
Dec 2023,25.3%,28.8%,13.2%
Jan 2024,25.6%,31.9%,14.4%
Feb 2024,24.6%,33.6%,16.2%
Mar 2024,26.3%,31.8%,14.7%
Apr 2024,23.2%,31.9%,17.3%
May 2024,25.9%,35.5%,17.1%
Jun 2024,23.2%,35.7%,18.2%
Jul 2024,25.2%,32.3%,17.8%
Aug 2024,26.8%,32.1%,18.2%
Sep 2024,26.3%,33.4%,17.1%
Oct 2024,26.5%,34.6%,16.3%
Nov 2024,26.9%,32.0%,13.9%
Dec 2024,27.0%,35.1%,14.4%
