Year,Quarter,Overall 6-Month FTA Rate,6-Month FTA Warrant Rate,6-Month Uncured FTA Rate,Earliest Date
2022,Qtr 2,18.61%,11.01%,14.09%,2022-04-01 00:00:00
2022,Qtr 3,19.01%,11.44%,14.87%,2022-07-01 00:00:00
2022,Qtr 4,19.45%,11.57%,15.22%,2022-10-01 00:00:00
2023,Qtr 1,17.97%,10.72%,13.59%,2023-01-01 00:00:00
2023,Qtr 2,19.00%,9.86%,12.93%,2023-04-01 00:00:00
2023,Qtr 3,20.81%,9.55%,14.47%,2023-07-01 00:00:00
2023,Qtr 4,22.82%,9.34%,16.19%,2023-10-01 00:00:00
2024,Qtr 1,25.02%,11.08%,18.31%,2024-01-01 00:00:00
2024,Qtr 2,25.63%,11.11%,18.22%,2024-04-01 00:00:00
2024,Qtr 3,25.70%,11.48%,18.65%,2024-07-01 00:00:00
2024,Qtr 4,25.63%,12.07%,18.87%,2024-10-01 00:00:00
2025,Qtr 1,24.28%,11.69%,17.71%,2025-01-01 00:00:00
