,Non-Detainable Misdemeanor,Non-Detainable Felony,Detainable Misdemeanor,Detainable Felony,,
"Boone County, IL",2410,384,173,152,3119,
"Carroll County, IL",416,111,40,37,604,
"Ford County, IL",402,85,26,60,573,
"Franklin County, IL",4574,1048,562,398,6582,
"Fulton County, IL",1078,326,201,130,1735,
"Hancock County, IL",529,126,61,37,753,
"Henderson County, IL",440,35,26,28,529,
"Jefferson County, IL",1853,450,113,150,2566,
"Jo Daviess County, IL",847,76,58,35,1016,
"Knox County, IL",5554,1604,786,704,8648,
"Lawrence County, IL",385,208,60,82,735,
"Livingston County, IL",1882,388,142,197,2609,
"Logan County, IL",979,229,106,105,1419,
"McDonough County, IL",1123,197,95,132,1547,
"Ogle County, IL",2398,329,141,138,3006,
"Stephenson County, IL",2224,505,267,202,3198,
"Warren County, IL",594,169,68,118,949,
"Wayne County, IL",597,177,44,55,873,
"White County, IL",749,240,92,93,1174,
"Woodford County, IL",2588,600,146,232,3566,
